,Boylston St B-A_Berk_N,Boylston St B-A_Berk_S,Boylston St C-B_Clar_N,Boylston St C-B_Clar_S,Boylston St D-C_Dart_N,Boylston St D-C_Dart_S,Boylston St E-D_Exet_N,Clarendon St N-B_Newb_E,Clarendon St N-B_Newb_W,Dartmouth St N-B_Newb_W,Exeter St N-B_Newb_E,Exeter St N-B_Newb_W,Newbury St A-B_Arli_N,Newbury St A-B_Arli_S,Newbury St B-C_Berk_N,Newbury St B-C_Berk_S,Newbury St C-D_Clar_N,Newbury St C-D_Clar_S,Newbury St D-E_Dart_N,Newbury St D-E_Dart_S,Newbury St E-F_Exet_N,Newbury St E-F_Exet_S
2022-06-29 08:00:00,14,13,19,21,13,10,14,6,9,6,2,6,17,14,17,14,7,17,11,13,17,20
2022-06-29 09:00:00,9,7,19,14,10,12,15,13,6,8,5,6,23,24,18,14,19,27,13,16,23,21
2022-06-29 10:00:00,14,11,17,21,16,12,10,7,8,6,3,5,15,22,18,17,9,18,13,12,10,15
2022-06-29 11:00:00,13,11,12,13,10,11,10,5,5,3,2,3,24,27,19,15,17,26,13,17,20,23
2022-06-29 12:00:00,12,3,17,16,10,12,12,5,9,6,6,7,9,15,0,14,9,14,2,8,5,17
2022-06-29 13:00:00,17,11,10,4,10,8,9,3,7,4,2,3,25,25,22,17,15,25,6,13,22,22
2022-06-29 14:00:00,11,6,20,16,14,11,14,7,8,5,8,6,9,11,19,13,11,9,6,6,9,16
2022-06-29 15:00:00,13,8,20,17,8,10,12,6,9,6,6,8,23,26,20,18,15,23,10,16,19,20
2022-06-29 16:00:00,10,9,21,19,11,10,10,5,9,6,0,6,14,23,9,17,6,21,17,21,12,19
2022-06-29 17:00:00,13,9,16,16,8,11,10,8,9,6,4,6,12,21,12,17,8,20,14,27,13,19
2022-06-29 18:00:00,14,11,21,21,8,12,12,6,9,7,5,6,19,26,14,18,10,25,20,22,13,17
2022-06-29 19:00:00,7,10,18,17,11,12,17,10,10,7,8,8,23,24,9,19,7,22,15,22,17,18
